castro,bm
carvalho,avm
carvalho,am             ; Antônio Mendes de Carvalho                         ;                                         ; role:field_assistant,driver|homonymous:André Maurício de Carvalho
villarroel,d            ; Daniel Villarroel Segarra                         ;  http://lattes.cnpq.br/6618471150517833
grearjunior,jw          ; John Wesley Grear Junior                          ;  https://www.nybgpress.org/Author/Default.aspx?AuthorId=85441
caires,cs               ; Claudenir Simões Caires                           ;  http://lattes.cnpq.br/8759274080847465
prance,gt               ; Ghillean Tolmie Prance                            ;  https://www.wikidata.org/wiki/Q2653458
silva,ma                ; Maria Aparecida Silva
kuhlmann,mp             ; Marcelo Kuhlmann Peres                            ; http://lattes.cnpq.br/5612252578821707
emmert,p                ; Paula Emmert                                      ; http://lattes.cnpq.br/1411095081884914
paula,je                ; José Elias de Paula                               ; http://lattes.cnpq.br/0833064963041609
smith,gm                ; Gary Lane Smith Merrill                           ; https://www.wikidata.org/wiki/Q12313530
martins,rc              ; Renata Corrêa Martins                             ; http://lattes.cnpq.br/1787107641842903
maxwell,hh
walter,bmt              ; Bruno Machado Teles Walter                        ;  http://lattes.cnpq.br/3552856044730385
melo,e                  ; Efigênia de Melo                                  ;  http://lattes.cnpq.br/3901872008167624
farias,r                ; Rosana Farias Singer                             ; http://lattes.cnpq.br/1732198508176514
miranda,sc              ; Sabrina do Couto de Miranda                     ;  http://lattes.cnpq.br/3653673838173344
wasshausen,dc           ; Dieter Carl Wasshausen                          ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000009105
gomes,bm                ; Beatriz Machado Gomes                           ;  http://lattes.cnpq.br/9326386106739791
gomes,sm                ; Sueli Maria Gomes                               ; http://lattes.cnpq.br/5881872074435086
gomesjunior,jc
magalhaes,m
harris,sa               ;  Stephen Andrew Harris                          ; https://www.researchgate.net/profile/Stephen_Harris4
pinheiro,eml
fonsecafilho,j
carvalho,ps  ;  Plauto Simão de Carvalho                                  ;  http://lattes.cnpq.br/4108262957994798
delprete,pg   ;   Piero G. DelPrete                                       ; https://www.researchgate.net/profile/Piero_Delprete
reis,pa
ramos,pcm   ;   Paulo C. M. Ramos                                         
rosa,po    ;  Priscila Oliveira Rosa                                      ;   http://lattes.cnpq.br/3252451474065170
silva,nt      ;  Nilo Thomás da Silva                                     ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000031199
milhomens,lc  ;  Luciano Coêlho Milhomens Fonsêca                         ;  http://lattes.cnpq.br/0018913505351067
salmito,we
sucre,d   ;  Dimitri Sucre Benjamin                                       ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000008214
franca,f  ;  Flávio França                                                ;  http://lattes.cnpq.br/2928056665681598
hoehne,w  ;  Wilson Hoehne                                                ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000037888
oliveira,fcao
martins,cr
king,rm         ; Robert Merrill King                                     ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000004357
hunt,dr         ; David Richard Hunt                                      ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000003881
silvajunior,mc  ;  Manoel Cláudio da Silva Júnior                         ; http://lattes.cnpq.br/2351742502156032
cezare,chg
souza,vc    ;   Vinícius Castro Souza                                         ; http://lattes.cnpq.br/2457247935703929
correia,cas   ;   Carlos A. S. Correia
rizzo,ja      ;  José Ângelo Rizzo                                    ; http://lattes.cnpq.br/9671670971219593
silva,jm
pereira,cg
goodland,r    ; Robert Goodland                                      ; https://www.researchgate.net/profile/Robert_Goodland
vital,dm    ;   Daniel Moreira Vital                    ; http://lattes.cnpq.br/2061073243155108
souza,enf   ;   Estevão Nascimento Fernandes de Souza   ;   http://lattes.cnpq.br/4791658808834209
lima,jcm    ;   José do Carmo M. Lima
pereira,bas     ;   Benedito Alísio da Silva Pereira    ; http://lattes.cnpq.br/6814220601819130
chagas-e-silva,fc   ; Francisco das Chagas e Silva
pinheiro,rs     ; Raimundo Soares Pinheiro
rocha,dms       ; Dulce Maria Sucena da Rocha           ; http://lattes.cnpq.br/6571119615646161
duarte,ap       ; Apparíco Pereira Duarte
vale,gd
sampaio,ab
melo,ms     ;   Marina da Silva Melo                    ; http://lattes.cnpq.br/7238284688522911
goncalves,eg  ;  Eduardo Gomes Gonçalves                ; http://lattes.cnpq.br/5791719585313527
splett,s  ;  Stephanie Splett
brito,ds  ;  Débora de Brito
silva,dp  ;  Diogo Pereira da Silva   ; http://lattes.cnpq.br/8966252985768564
chagas,ur
oliveira,rs
mecenas,vv    ;   Valmira Vieira Mecenas
ianhez,ml   ;   Marcelo Leite Ianhez              ; http://lattes.cnpq.br/7228800328857132
argent,gcg  ; Graham Charles George Argent        ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000011037
moreira,hjc
oliveira,rir
hawthorne,w
marshall,c
cardoso,es
richards,pw   ; Paul Westmacott Richards          ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000031549
touw,a
lindeman,jc
haidar,rf   ;   Ricardo Flores Haidar             ; http://lattes.cnpq.br/7968705632087088
souzasilva,s    ; Sebastião Souza e Silva
filgueiras,ts   ;   Tarciso de Sousa Filgueiras  ; http://lattes.cnpq.br/7141100226536514
correa,acg
krieger,pl      ; Leopoldo Krieger (Pe)         ; http://www.ufjf.br/herbario/historico/
queiroz,lp  ;  Luciano Paganucci de Queiroz     ; http://lattes.cnpq.br/2604388082970935
barros,mag    ; Mariluza Araújo Granja e Barros ; http://lattes.cnpq.br/2102949461608305
fagg,cw  ;  Christopher William Fagg            ; http://lattes.cnpq.br/0657076855028096
bucci,ffb   ;   Fernando Franco Bueno Bucci
meneguzzo,tec  ;  Thiago Erir Cadete Meneguzzo  ;  http://lattes.cnpq.br/3321321922162821
haridasan,m    ;  Mundayatan Haridasan          ; http://lattes.cnpq.br/4539632204303196
lima,as       ; Athos de Souza Lima
alvarenga,d
ramos,ae      ;  Alba Evangelista Ramos     ;   http://lattes.cnpq.br/5649603867980652
chaves,e      ;  Eduardo Chaves                 ; https://www.escavador.com/sobre/2109031/eduardo-chaves
carvalho,ja
santos,jr
machadoneto,a
silvestre,lfv   ;   Luiz Felipe do Valle Silvestre    ; http://lattes.cnpq.br/9520074043397900
mimura,i        ;  Itiriki Mimura                   ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000131473
mendes,s
felfili,jm  ;  Jeanine Maria Felfili Fagg     ; http://lattes.cnpq.br/6124595396248224
solorzano,a
turmadevegetacaodocerrado                     ; context:botany_class_unb
peralta,df    ;   Denilson Fernandes Peralta  ; http://lattes.cnpq.br/8084147980411650
goncalves,mf
barroso,gm    ;   Graziela Maciel Barroso   ; http://lattes.cnpq.br/2259791613980022
teles,am  ;  Aristônio Magalhães Teles  ;  http://lattes.cnpq.br/1464201907983484
mendes,mra
soderstrom,tr
izetti,c
oku,w
ribeiro,jf  ;  Jose Felipe Ribeiro  ;    http://lattes.cnpq.br/9520526430376178
amorim,eh
barreto,m   ;  Melo Barreto
schiffner,v ;  Victor Felix Schiffner ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000007486
ramalho,cl  ;  Celina Lima Ramalho    ;   http://lattes.cnpq.br/4462619022804417
arcela,v    ;  Vicente Arcela     ; http://lattes.cnpq.br/4640117244172070
pereira,ffo   ;   Fernanda Fumie Onoyama Pereira    ;   http://lattes.cnpq.br/6500500375700767
pinto,jrr
santos,nd
medeiros,mb   ;   Marcelo Brilhante de Medeiros     ;   http://lattes.cnpq.br/2078054899053291
cota,mrc  ;  Maria Raquel Carvalho Cota   ;   http://lattes.cnpq.br/6649337595568871
silva,gp      ; Glocimar Pereira da Silva    ; http://lattes.cnpq.br/5918557856101221
silva,rr
oliveira,e    ; Emmanoel Oliveira
alkimim,w   ;   Wanderson de Oliveira Alkimim   ;   http://lattes.cnpq.br/7042398773872630    ;   email:wanderson_alkimim@hotmail.com
ribas,os
cristine,a
salles,sc
ferreira,a
dias,eba      ;  Eduarda Barreto Andrade Dias   ; http://lattes.cnpq.br/6876506724854570
shevock,jr    ;  James Shevock                ; https://www.researchgate.net/profile/James_Shevock
nakajima,jn   ;  Jimi Naoki Nakajima          ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000146759
barbosa,e
silva,as      ;  Anádria Stéphanie da Silva   ; http://lattes.cnpq.br/6089467876772155
fernandes,mh
chaves,be
ganev,w       ; Wilson Ganev
matos,mq
staggemeier,vr
coelho,gsf
guimaraes,pjf  ;  Paulo José Fernandes Guimarães  ;  http://lattes.cnpq.br/9540758289593565
romero,r        ; Rosana Romero       ; http://lattes.cnpq.br/4757415855207556
silva,ap        ; Ana Palmira Silva   ; http://lattes.cnpq.br/9946185918076449
costa,rs
hill,sr
fontes,cg
duval,fg
aedo,c
fernandezalonso,jl
turmadebotanicadecampo    ; context:botany_class_unb
souza,jp    ;  Juliana P. Souza
costa,dp    ;   Denise Pinheiro da Costa    ;   http://lattes.cnpq.br/2839537470422776
santos,jb
santos,ml  ;  Mirley Luciene dos Santos     ; http://lattes.cnpq.br/4037739389334742
augusto,mm
moura,os    ;  Osvanda Silva de Moura       ; http://lattes.cnpq.br/6645304551883488
almeida,sp
hedenas,l
klein,vlg   ; Vera Lúcia Gomes Klein        ; http://lattes.cnpq.br/6477452328378345
silva,jcs
castro,ra
passos,fb         ; Fábio Barbosa Passos  ;  http://lattes.cnpq.br/6569009152124770
campos,lzo        ; Letícia Zenóbia de Oliveira Campos ; http://lattes.cnpq.br/5980845983624964
leite,lq
maguire,b         ; Basset Maguire        ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000005323
moreira,ga
plowman,tc        ; Timothy Charles Plowman  ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000006585
araujo,gm
junqueira,di    ;   Daniela Inácio Junqueira    ; http://lattes.cnpq.br/1026085006077039
moreira,tb
silva,lam       ;  Luiz Alberto Mattos Silva    ; http://lattes.cnpq.br/4389926430421678
shaw,aj
raimundo,r
oliveira,jrpm     ;   Juliana Rosa do Pará Marques de Oliveira    ;   http://lattes.cnpq.br/5546014514021118
duartesilva,ag    ;   Ana Gabriela Duarte Silva                   ;   http://lattes.cnpq.br/8709665397181642
cesar,hl
paiva,jga
clayton,wd
leitao-filho,h    ; Hermógenes de Freitas Leitão Filho            ; https://bv.fapesp.br/pt/pesquisador/4869/hermogenes-de-freitas-leitao-filho/
alves,mm
gates,b           ; Bronwen Gates ;     http://www.bronwengates.com/
gonzaga,rmo
nogueira,lmg
odelvik,g
lee,eyt           ; Eric Yin-Tse Lee    ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000004881
marimon,bs  ;  Beatriz Schwantes Marimon    ; http://lattes.cnpq.br/5399271067394555
santos,aa
cordeiro,j
macedo,m          ; Miramy Macedo                             ; http://lattes.cnpq.br/5319141535987029
souza,acm         ; Andrielle Cristine Medeiros de Souza    ; http://lattes.cnpq.br/5670673005001457
kitaura,m
gottsberger,g     ; Gerhard Karl Gottsberger              ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000151519
kummrow,r         ; Ronaldo Kummrow                       ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000038099
nascimentojunior,ic
pirani,jr         ; Jose Rubens Pirani                    ; http://lattes.cnpq.br/3793303917115299
equipedachesfctnopetcon
santos,ts         ; Talmon Soares dos Santos              ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000054147
melo,md
minervino,js      ;   Juliano Silva Minervino               ; http://lattes.cnpq.br/8562667816352054
arruda,r          ; Rafael Soares de Arruda             ; http://lattes.cnpq.br/6072065135325168
salino,a          ;   Alexandre Salino                  ; http://lattes.cnpq.br/7645303175022454
mundim,jv         ;   Julia Viegas Mundim               ; http://lattes.cnpq.br/5520026152652250
viollati,lg
hass,jh
novelino,rf
pacheco,ra
nogueira,acr
rocha,mal
simpson-junior,pl
pereira,jb
gibbs,pe  ;  Peter Edward Gibbs  ;  http://lattes.cnpq.br/5483035510785707
rodrigues,as
bijos,nr    ;   Natália Rodrigues Bijos   ; http://lattes.cnpq.br/2032343582106863
cardoso,de
reis,gr
davidse,g       ; Gerrit Davidse          ; https://plants.jstor.org/stable/10.5555/al.ap.person.k12876
arbo,mm         ; María Mercedes Arbo     ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000000227
silva,n
petracco,p      ; Paula Petracco          ; http://lattes.cnpq.br/3908195729194254
aquino,ppu      ; Pedro Podestà Uchôa de Aquino     ; http://lattes.cnpq.br/8512815365984355
rolim,lb
machado,jwb
froes,rl        ; Ricardo de Lemos Fróes        ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000002761
andrade,mc
pastore,jfb   ;   José Floriano Barêa Pastore   ; http://lattes.cnpq.br/2674861251163318
furtado,mtr
pinto,rnm
oliveira,dr
cardoso,cfr   ;  Carlos Fabiano Rozindo Cardoso   ; http://lattes.cnpq.br/4840085946069333
cordeiro,i    ;   Inês Cordeiro   ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000040639
landim,mf     ;  Myrna Friedrichs Landim de Souza  ;  http://lattes.cnpq.br/3961388319501481
guimaraes,ll
ronblom,k
antunes,ec
antunes,ll
killip,ep      ; Elisworth Paine Killip             ; https://en.wikipedia.org/wiki/Ellsworth_Paine_Killip
pott,a         ;  Arnildo Pott                      ; http://lattes.cnpq.br/8915975180559275
pott,vj        ;  Vali Joana Pott                   ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000370935
roveratti,j
giulietti,am   ; Anna Maria Giulietti               ; http://lattes.cnpq.br/8594436314509609
black,ga       ; George Alexander Black             ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000000756
chacon,rg      ;  Roberta Gomes Chacon              ; http://lattes.cnpq.br/4349842706251003
farias,ca
silva,nf
rios,mns
nitikman,lz
fankdecarvalho,sm  ;  Suzane Margaret Fank de Carvalho  ;  http://lattes.cnpq.br/4465782668919511
lima,n
saddi,n     ;  Nagib Saddi
campos,mbs  ;  Mateus Barros e Silva Campos  ;  http://lattes.cnpq.br/3795657143774200
brade,ac    ; Alexander Curt Brade           ; https://en.wikipedia.org/wiki/Alexander_Curt_Brade
almeida,te
damascenojunior,ga    ;  Geraldo Alves Damasceno Júnior   ; http://lattes.cnpq.br/2968576714855735
oliveira,hc
neiva,caf   ;  Cinara Araújo Faria Neiva      ; http://lattes.cnpq.br/2976103016932780
nogueira,e    ; Eliana Nogueira               ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000137577
dias,jb
pinheiro,gs
carvalho,jfv
brito,m
paes,no
matos,vl
fonseca,js
muniz,fh
klazenga,n
silvafilho,ap
vanrooy,j
silva,pen
silva,csp   ;   Cristiane Soares Pereira da Silva    ;   http://lattes.cnpq.br/2663930743910410
pereira,ga
mellosilva,r    ;  Renato de Mello-silva      ; http://lattes.cnpq.br/7113799141592254
bishop,le   ; Luther Earl Bishop              ; https://upclosed.com/people/luther-earl-bishop/
costa,ir  ;  Itayguara Ribeiro da Costa       ; http://lattes.cnpq.br/9403203681484534
carvalho,phs
lima,hs
massarotto,np
moura,co    ;  Clapton Olímpio de Moura  ; http://lattes.cnpq.br/7898092127238868
bordin,j    ;   Juca Bordin
rezende,av
guimaraes,rm
fechina,f
hoehne,fc   ; Frederico Carlos Hoehne   ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000003687
ferreira,mb   ;  Mitzi Brandão Ferreira   ; https://www.wikidata.org/wiki/Q21389955
ramos,mvv
mori,sa     ; Scott A. Mori             ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000005813
pereira,ams
almeida,rf
jesus,fpr
francisco,em
skvortzov,b
pereira,e     ;  Edmundo Pereira      ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000006425
silva,ss      ; Sandra S. Silva
rivera,vl  ;  Vanessa Lopes Rivera  ; http://lattes.cnpq.br/2540360500410257 ; email:nessarivera@gmail.com
batista,ma
silva,jma
oliveira,rg   ; Rosana Gomes de Oliveira    ; https://plants.jstor.org/stable/10.5555/al.ap.person.bm000138590
freitas,rip
viana,jl
nobrega,mg
cavalcanti,tb  ;  Taciana Barbosa Cavalcanti  ;  http://lattes.cnpq.br/0524131490309238
pereiraneto,m
versiane,afa
delgado,sm   ;  Simone Mogami Delgado       ; http://lattes.cnpq.br/8231081959769747
arbocz,gf     ; Geza de Faria Arbocz        ; http://lattes.cnpq.br/5952248954779231
nascimento,ea
hatschbach,m
laine,u
jungbluth,p
mendes,jm
hamnede,m
noletto,lg
ivanauskas,nm     ; Natalia Macedo Ivanauskas     ; http://lattes.cnpq.br/5822634990632546
fernandes,jb
schessl,m
lourenco,jml
valls,jfm         ;  José Francisco Montenegro Valls    ; http://lattes.cnpq.br/8312780135209674
silva,sr          ;  Suelma Ribeiro Silva        ;  http://lattes.cnpq.br/9749677449869366
peixoto,al        ;  Ariane Luna Peixoto         ; http://lattes.cnpq.br/4186411197580812
sobral,m          ;  Marcos Eduardo Guerra Sobral    ;  http://lattes.cnpq.br/8195769258461102
vasconcelos,tnc   ;  Thaís Nogales da Costa Vasconcelos ;  http://lattes.cnpq.br/0349712110185213
mazine-capelo,ff  ;  Fiorella Fernanda Mazine Capelo   ;  http://lattes.cnpq.br/0400014722017129
siracusa,p        ;  Pedro Correia de Siracusa        ; http://lattes.cnpq.br/3049305364755185
gomesbezerra,km   ;  Kadja Milena Gomes Bezerra       ; http://lattes.cnpq.br/6725020704146341
fadini,rf         ;  Rodrigo Ferreira Fadini       ;  http://lattes.cnpq.br/6712756525504898
bianchetti,l      ;  Luciano de Bem Bianchetti      ;  http://lattes.cnpq.br/4063446473756346
sales,ab          ;  Adeline Brito Sales         ;  http://lattes.cnpq.br/2284734607374502
tanno-silva,pi    ;  Pedro Ítalo Tanno Silva       ;  http://lattes.cnpq.br/2544689687178542
cavechia,la       ;  Layra Altafin Cavechia       ;  http://lattes.cnpq.br/7565082563258853
zuany,lv          ;  Larissa Vieira Zuany
yamamoto,k        ;  Kikyo Yamamoto           ;  http://lattes.cnpq.br/3086077117023384
araujo,rf         ;  Raquel Fernandes de Araújo     ;  http://lattes.cnpq.br/2890034429403066
lughadha,en       ;  Eimear Nic Lughadha         ;  http://lattes.cnpq.br/5829301418814428
aquino,fg         ;  Fabiana de Gois Aquino       ;  http://lattes.cnpq.br/6715937519108538
batista,jan       ;  João Aguiar Nogueira Batista    ;  http://lattes.cnpq.br/3367632685839809
barboza,ma        ;  Maria Aglaene Barboza
lohmann,lg        ;  Lúcia Garcez Lohmann           ; http://lattes.cnpq.br/3340828165410597
lombardi,ja       ;  Julio Antonio Lombardi         ; http://lattes.cnpq.br/3102516580176991
araujo,dsd        ;  Dorothy Sue Dunn de Araújo     ; http://lattes.cnpq.br/3920095971661288
souza,mc          ;  Marcelo da Costa Souza         ; http://lattes.cnpq.br/7007199583077652
fornimartins,er   ;  Eliana Regina Forni Martins    ; http://lattes.cnpq.br/7308835024582083
ribeiro,mf        ;  Maria de Fátima Ribeiro
firetti,f         ;  Fabiana Firetti-Leggieri       ; http://lattes.cnpq.br/6788517444075172
arantes,aa        ;  Adriana Assis Arantes          ; http://lattes.cnpq.br/9349801371550106
oliveira,peam     ;  Paulo Eugênio Alves Macedo de Oliveira   ; http://lattes.cnpq.br/9222197864054553
souza,mad         ;  Maria Anália Duarte de Souza     ; http://lattes.cnpq.br/6155969493322017
darosci,aa        ;  Adriano Antonio Brito Darosci   ;  http://lattes.cnpq.br/4539795481921184
silvestresilva,j  ;  Juliana Silvestre Silva    ;   http://lattes.cnpq.br/4954392287693021
baumgratz,jfa     ;  José Fernando Andrade Baumgratz    ; http://lattes.cnpq.br/8915857060495609
udulutsch,rg      ;  Renata Giassi Udulutsch    ; http://lattes.cnpq.br/3610075124653786
consolaro,hn      ;  Hélder Nagai Consolaro       ; http://lattes.cnpq.br/3914598655311565
martins,ab        ;  Ângela Borges Martins      ; http://lattes.cnpq.br/5783879729248083
salatino,a        ;  Antônio Salatino           ; http://lattes.cnpq.br/1542955544481274
rossi,l           ;  Lúcia Rossi                ; http://lattes.cnpq.br/6425400767189043
queiroz,vv        ;  Viviane Vaz de Queiroz   ;   http://lattes.cnpq.br/1954479179243041
kutschenko,dc     ;  Danielli Cristina Kutschenko   ;   http://lattes.cnpq.br/6736323047432512
garritano,g       ;  Graziella Garritano        ; http://lattes.cnpq.br/4345238472466743
santos,rv         ;  Raquel Vieira Santos
jorge,cl          ;  Camila Lopes Jorge
kollmann,ljc      ;  Ludovic J.C. Kollmann  ; ; email:ludokoll@yahoo.com.br
barneby,rc        ;  Rupert Charles Barneby
bianchini,rs      ;  Rosângela S. Bianchini
wurdack,j         ;  John Wurdack
magill,re         ;  Rober Earle Magill
senna,pac         ;  Pedro Américo Cabral Senna
stech,m           ;  Michael Stech
spielmann,aa      ;  Adriano Afonso Spielmann
hebel,i           ;  Ingrid Hebel
buck,we           ;  William Russel Buck
zartman,ce        ;  Charles Eugene Zartman
dianese,jc        ;  José Carmine Dianese       ;  http://lattes.cnpq.br/2924779756458377
dianese,a         ;  Alexei de Campos Dianese   ;  http://lattes.cnpq.br/3803936224333405
guimaraes,ef      ;  Elsie Franklin Guimarães   ;  http://lattes.cnpq.br/5656931947739389
pereira,la        ;  Luciano Araujo Pereira
diasneto,rg       ;  Renato Gama Dias Neto      ;  http://lattes.cnpq.br/7699197078019809
leite,rn          ;  Rafael do Nascimento Leite ;  http://lattes.cnpq.br/4855431051907114
yano,o            ;  Olga Yano                  ;  http://lattes.cnpq.br/5676932492133329
resende,mlf       ;  Mariana de Lourdes Fonseca Resende
oliveira,scc      ;  Sarah Christina Caldas Oliveira
giotto,ac         ;  Ani Cátia Giotto           ;  http://lattes.cnpq.br/7231969701152777
miranda,fs        ;  Fábio dos Santos Miranda   ;  http://lattes.cnpq.br/9069367642603065
teixeira,amc      ;  Ana Magalhães Cordeiro Teixeira
moreira,alc       ;  André Luiz da Costa Moreira    ; http://lattes.cnpq.br/6612443552231248
mota,edh          ;  Estefânia Dália Hoffman Mota
santos,ffm        ;  Francisco Ferreira de Miranda Santos
rezende,jm        ;  João Marcelo de Rezende
cordeiro,aoo      ;  Alba Orli de Oliveira Cordeiro
schliewe,ma       ;  Marcos Augusto Schliewe
lemos,hl          ;  Helena Lara Lemos
nogueira,lc       ;  Lauana Costa Nogueira
